調教師CD,調教師名,全出走数,全勝率,全複勝率,穴馬出走数(7人気↓),穴馬勝率,穴馬連対率,穴馬複勝率,穴馬期待複勝率,穴馬複勝超過率,穴馬人気以上率,穴馬単勝回収率,大穴出走数(10人気↓),大穴複勝率,戦略スコア
01113,牧浦充徳,1452,0.09366391184573003,0.24242424242424243,816,0.022058823529411766,0.05269607843137255,0.09681372549019608,0.08014344629225623,1.2080055197170951,0.6764705882352942,1.044607843137255,498,0.05823293172690763,1.595729745230582
01146,奥村豊,1686,0.08837485172004746,0.26215895610913403,866,0.021939953810623556,0.061200923787528866,0.10277136258660508,0.08553521532817257,1.2015093688874536,0.6720554272517321,0.6371824480369515,501,0.06387225548902195,1.590757153076526
01002,音無秀孝,1850,0.08756756756756756,0.2594594594594595,823,0.023086269744835967,0.06318347509113001,0.10692588092345079,0.08948124048207647,1.1949530465535798,0.6792223572296476,0.6466585662211422,422,0.061611374407582936,1.586925388953992
01026,鈴木伸尋,1428,0.062324929971988796,0.2030812324929972,823,0.026731470230862697,0.04981773997569866,0.09356014580801944,0.081623697336407,1.146237537150726,0.707168894289186,1.0761846901579586,496,0.0625,1.5848620675487326
01179,鈴木慎太,1039,0.06256015399422522,0.19923002887391722,673,0.022288261515601784,0.04011887072808321,0.08172362555720654,0.07259113233877765,1.12580728422596,0.7414561664190193,1.6429420505200594,452,0.06858407079646017,1.5832419374778077
01018,宮徹,1588,0.05289672544080604,0.22418136020151133,923,0.01733477789815818,0.050920910075839654,0.08884073672806067,0.0836288180987141,1.0623220409882452,0.7453954496208017,0.7690140845070422,526,0.043726235741444866,1.5746464494461165
01112,田島俊明,1559,0.059012187299550996,0.19178960872354073,968,0.02169421487603306,0.05268595041322314,0.08677685950413223,0.07662180510658029,1.132534784105208,0.6931818181818182,1.3453512396694214,626,0.04313099041533546,1.5720002859077082
01152,竹内正洋,1477,0.07650643195666892,0.23561272850372375,844,0.023696682464454975,0.05687203791469194,0.0995260663507109,0.0855519889236336,1.163340181834358,0.6848341232227488,1.0466824644549764,479,0.04801670146137787,1.5635457661126344
01124,大和田成,1408,0.05113636363636364,0.1747159090909091,933,0.01714898177920686,0.03215434083601286,0.07609860664523044,0.07180974216611029,1.0597253847423536,0.7406216505894962,0.6812433011789925,624,0.049679487179487176,1.5631977684066551
01135,高橋康之,1488,0.043010752688172046,0.135752688172043,1081,0.014801110083256245,0.041628122109158186,0.07123034227567067,0.06790504687134707,1.0489697829179574,0.7298797409805735,0.5805735430157262,767,0.035202086049543675,1.5576841799934893
01080,清水英克,1418,0.05077574047954866,0.16431593794076163,1011,0.021760633036597428,0.04549950544015826,0.0751730959446093,0.06854711983721554,1.0966630855261172,0.7042532146389713,1.1490603363006924,731,0.04514363885088919,1.5562868331252533
00405,小西一男,1232,0.044642857142857144,0.15097402597402598,887,0.02142051860202931,0.040586245772266064,0.07328072153325817,0.07070150028570223,1.0364804316334646,0.7576099210822999,1.0052987598647125,633,0.04739336492890995,1.5524302223181585
00412,高橋裕,879,0.06370875995449374,0.20819112627986347,524,0.022900763358778626,0.04770992366412214,0.08969465648854962,0.0740405524648069,1.2114260834450614,0.7022900763358778,1.4444656488549619,336,0.05952380952380952,1.5517609079863255
01142,森田直行,1521,0.04865220249835635,0.16765285996055226,1044,0.011494252873563218,0.035440613026819924,0.06992337164750957,0.06691722029794285,1.0449234342996034,0.7298850574712644,0.3707854406130268,754,0.038461538461538464,1.5439591280423233
01136,高橋亮,1450,0.07724137931034483,0.24551724137931036,773,0.018111254851228976,0.047865459249676584,0.08926261319534282,0.07999294306953168,1.1158810986333347,0.7141009055627425,0.6146183699870634,469,0.06396588486140725,1.5434875145728568
01043,石栗龍彦,1062,0.03389830508474576,0.12617702448210924,833,0.006002400960384154,0.022809123649459785,0.058823529411764705,0.05987059685006701,0.982511157506506,0.801920768307323,0.17346938775510204,657,0.0334855403348554,1.543271062263767
01130,吉村圭司,1548,0.0872093023255814,0.25452196382428943,782,0.020460358056265986,0.052429667519181586,0.09462915601023018,0.0816554741849099,1.158883185173124,0.6854219948849105,0.9025575447570332,459,0.05010893246187364,1.5412656088943302
01008,杉浦宏昭,1550,0.034193548387096775,0.15354838709677418,1091,0.011915673693858845,0.035747021081576534,0.076076993583868,0.07267350108339687,1.0468326480729948,0.7213565536205316,0.43354720439963335,719,0.04172461752433936,1.5383808037265185
01125,小野次郎,1331,0.054845980465815174,0.16003005259203607,949,0.018967334035827187,0.03371970495258166,0.07692307692307693,0.07230681220551444,1.0638427359298026,0.7239199157007377,1.0719704952581666,638,0.05799373040752351,1.5376920072981821
01066,岡田稲男,1471,0.07409925220938138,0.22433718558803534,840,0.013095238095238096,0.05,0.09166666666666666,0.08268956901479801,1.1085638461879286,0.7047619047619048,0.4767857142857143,491,0.04480651731160896,1.5322009490661241
01209,東田明士,162,0.06790123456790123,0.16666666666666666,106,0.03773584905660377,0.05660377358490566,0.12264150943396226,0.07927518223516446,1.547035351746711,0.7264150943396226,2.5226415094339623,71,0.04225352112676056,1.5292070742858
01029,根本康広,1435,0.02926829268292683,0.11846689895470383,1109,0.013525698827772768,0.029756537421100092,0.06492335437330929,0.06531263267413061,0.9940397701810065,0.7520288548241659,0.70297565374211,810,0.0345679012345679,1.526471289768249
01166,石坂公一,1428,0.09453781512605042,0.2696078431372549,701,0.02282453637660485,0.05135520684736091,0.09557774607703282,0.08409587791725849,1.1365330673052878,0.6918687589158345,0.9054208273894436,416,0.05048076923076923,1.500752751088148
01192,上原佑紀,578,0.10380622837370242,0.29411764705882354,269,0.03717472118959108,0.07063197026022305,0.12267657992565056,0.08788613341994846,1.3958581991480052,0.6505576208178439,1.0301115241635688,141,0.06382978723404255,1.4804509622886095
01165,和田勇介,1373,0.07428987618353969,0.22578295702840495,765,0.02091503267973856,0.06405228758169934,0.0915032679738562,0.08262755993649482,1.1074182517816453,0.6901960784313725,0.7521568627450981,450,0.04666666666666667,1.4781921276368135
01065,大橋勇樹,1702,0.06756756756756757,0.2144535840188014,1010,0.01782178217821782,0.053465346534653464,0.0801980198019802,0.08130321754216313,0.9864064698348527,0.7415841584158416,0.8203960396039603,619,0.045234248788368334,1.473811303439759
01038,手塚貴久,1858,0.10710441334768568,0.3116254036598493,747,0.01606425702811245,0.05488621151271754,0.09906291834002677,0.08636286210997102,1.1470546010145426,0.6666666666666666,0.9904953145917001,419,0.081145584725537,1.4736072250044001
01132,金成貴史,1521,0.0631163708086785,0.19395134779750164,902,0.018847006651884702,0.036585365853658534,0.08314855875831485,0.08087160765004085,1.0281551359548478,0.720620842572062,0.658980044345898,552,0.05615942028985507,1.4683887083433222
01069,中尾秀正,1399,0.06933523945675482,0.21801286633309508,835,0.01437125748502994,0.05149700598802395,0.08263473053892216,0.07981294144646608,1.0353550319198392,0.7233532934131737,0.5880239520958084,509,0.05697445972495088,1.4674646463238288
01121,角田晃一,1508,0.07625994694960213,0.2486737400530504,793,0.017654476670870115,0.05296343001261034,0.09331651954602774,0.08359458197859768,1.1162986564119566,0.6759142496847415,0.4340479192938209,456,0.03508771929824561,1.4671014171738428
01168,上村洋行,1300,0.1476923076923077,0.3423076923076923,453,0.03090507726269316,0.06181015452538632,0.10816777041942605,0.0881714111226013,1.226789602686749,0.6710816777041942,0.7922737306843267,238,0.0546218487394958,1.4667738813140367
01173,長谷川浩,1438,0.08484005563282336,0.25382475660639775,747,0.01740294511378849,0.03748326639892905,0.08165997322623829,0.08224728107111899,0.9928592430384069,0.7550200803212851,0.42570281124497994,444,0.04054054054054054,1.4445583712396723
