banusicode,banusiname,N,wins,place_2nd3rd,drops,promo_risk_count,win_rate,rate_2nd3rd,drop_rate,p_value_win,p_bh_win,p_value_2nd3rd,p_bh_2nd3rd
059803,加藤ステーブル,67,14,20,33,60,0.208955223880597,0.29850746268656714,0.4925373134328358,0.5395850981506075,0.9998664685304478,0.5309954969301471,0.9972659797981572
061800,永井商事,66,15,17,34,58,0.22727272727272727,0.25757575757575757,0.5151515151515151,0.6768926072204724,0.9998664685304478,0.7937157482134632,0.9972659797981572
063803,諸江　幸祐,64,10,20,34,60,0.15625,0.3125,0.53125,0.17053015865615861,0.9177326475544092,0.43517640951426867,0.9972659797981572
064700,Ｈｉｍ　Ｒｏｃｋ　Ｒａｃｉｎｇ,63,15,19,29,40,0.23809523809523808,0.30158730158730157,0.4603174603174603,0.7453604853683022,0.9998664685304478,0.5115408878795533,0.9972659797981572
065803,京都ホースレーシング,62,10,18,34,59,0.16129032258064516,0.2903225806451613,0.5483870967741935,0.20379218310145236,0.9998664685304478,0.5892407304820553,0.9972659797981572
072803,スリーエイチレーシング,94,19,22,53,94,0.20212765957446807,0.23404255319148937,0.5638297872340425,0.4583853001009067,0.9998664685304478,0.9273432606513247,0.9972659797981572
075800,千明牧場,50,13,15,22,49,0.26,0.3,0.44,0.8387086517562286,0.9998664685304478,0.5310500004358569,0.9972659797981572
075803,サトミホースカンパニー,273,57,89,127,264,0.2087912087912088,0.326007326007326,0.4652014652014652,0.4693811463183055,0.9998664685304478,0.15748629747721235,0.8371640023788656
078006,畑佐　博,56,10,20,26,49,0.17857142857142858,0.35714285714285715,0.4642857142857143,0.3306373837597878,0.9998664685304478,0.19640026453177334,0.8847322637023648
084800,ラッキーフィールド,123,31,40,52,94,0.25203252032520324,0.3252032520325203,0.42276422764227645,0.8779225551526997,0.9998664685304478,0.2712529130913565,0.9972659797981572
087803,Ｈｉｍ　Ｒｏｃｋ　Ｒａｃｉｎｇホールディングス,65,8,20,37,58,0.12307692307692308,0.3076923076923077,0.5692307692307692,0.04671045190727592,0.8577737532063398,0.46736805317023666,0.9972659797981572
089803,了徳寺健二ホールディングス,221,54,55,112,206,0.24434389140271492,0.248868778280543,0.5067873303167421,0.8884122563851534,0.9998664685304478,0.9494364315539354,0.9972659797981572
098803,Ｇリビエール・レーシング,63,12,23,28,62,0.19047619047619047,0.36507936507936506,0.4444444444444444,0.4003649587643636,0.9998664685304478,0.14586548810026811,0.8371640023788656
100800,日進牧場,57,11,22,24,35,0.19298245614035087,0.38596491228070173,0.42105263157894735,0.43070206471587735,0.9998664685304478,0.09289351290803659,0.8172343022982282
