banusicode,banusiname,N,mean_residual,std_residual,mean_implied,actual_win_rate,promo_risk_count,t_stat,p_value,p_bh
138007,吉田　和美,523,-0.04172921978397718,0.41842712904525814,0.29794336892355655,0.25621414913957935,489,-2.280716342831056,0.011483696360199415,0.03999494249586693
148800,グリーンファーム,334,-0.0788954093004184,0.3749763048434574,0.2525481039111968,0.17365269461077845,250,-3.845219552031822,7.214717790248716e-05,0.0007670384177001266
149002,井山　登,50,-0.030770170542091694,0.4082087452238047,0.25077017054209166,0.22,49,-0.5330066174023451,0.2982191335216313,0.36573619143686403
151006,吉田　和子,87,-0.06073037210584245,0.36534406581957524,0.27912117670354364,0.21839080459770116,86,-1.5504705116684916,0.06235050732891731,0.12470101465783462
163002,北所　直人,162,-0.014217750056733177,0.3961671781720037,0.2364399722789554,0.2222222222222222,149,-0.4567829557333943,0.32422136731274165,0.3837950354449415
165033,河合　純二,121,-0.14524946192621432,0.35104521839946057,0.3188031809344788,0.17355371900826447,117,-4.551391095634456,6.430206763925307e-06,0.00011338745704297361
168006,増田　雄一,106,-0.07245736957782078,0.35000828509278836,0.2517026525966887,0.1792452830188679,99,-2.1313617703771808,0.017696342054197383,0.05265219759273166
170800,ロードホースクラブ,488,-0.04421317947324419,0.40140726003324495,0.2757705565224245,0.23155737704918034,442,-2.4331923092732795,0.007662591978118037,0.028663769992219326
172002,池谷　誠一,95,-0.12899059958420206,0.3682904655277801,0.3079379680052547,0.17894736842105263,71,-3.41373172601446,0.00047357384149053716,0.0035430339252255
180800,東京ホースレーシング,793,-0.051612159452978784,0.40473696878546633,0.29120862855764457,0.23959646910466584,712,-3.591002845102431,0.0001748557807408225,0.001766043385482307
184033,山本　能成,102,-0.12166946546949364,0.35606092219624524,0.25892436743027797,0.13725490196078433,79,-3.4510986484491664,0.00040821226942393024,0.0031714953239859196
195031,三木　正浩,79,-0.029226041119369335,0.4337345541879758,0.29504882592949594,0.26582278481012656,78,-0.5989071726225307,0.2754851329237059,0.3477999803161787
196031,長谷川　祐司,74,-0.018859191437301963,0.4450885912990828,0.28912946170757226,0.2702702702702703,67,-0.36449574801184276,0.3582707969669642,0.4043055921079708
208008,窪田　芳郎,206,-0.07011522100315896,0.41442971279911034,0.3079792986730619,0.23786407766990292,192,-2.4282591427010987,0.008017160844971203,0.029444845285166964
224007,田中　成奉,253,-0.05335606123697068,0.3901978977154875,0.2509845197349944,0.1976284584980237,230,-2.1749991807697886,0.015280170723045433,0.04822803884461215
226800,サンデーレーシング,2034,-0.07439637277946463,0.39377611152537473,0.29563531083256195,0.22123893805309736,1837,-8.520750919631672,1.5192056521058757e-17,3.068795417253869e-15
231033,吉田　晴哉,92,-0.040288093688118275,0.42167006615842084,0.26854896325333566,0.22826086956521738,92,-0.9164269661535007,0.1809326362908642,0.2520578795224453
232031,藤田　晋,113,-0.0759813804976233,0.3822892218638836,0.270671645984349,0.19469026548672566,103,-2.1127803441714423,0.018420493218476476,0.053926661306264466
242031,前田　幸大,59,-0.12916758630923328,0.4039693808876963,0.33255741681770784,0.2033898305084746,59,-2.456015488504161,0.008532479892159862,0.030777873896719505
245030,前田　葉子,80,-0.05800968222001827,0.4120482020805641,0.2955096822200183,0.2375,71,-1.2592079484114342,0.10583157557471826,0.17667750633134782
248005,山元　哲二,64,-0.05397934639601351,0.4003962269820915,0.2571043463960135,0.203125,59,-1.078518582512574,0.14245727559532143,0.21315829385374022
248030,石川　達絵,186,-0.024571911999187915,0.4170257968847722,0.2880127722142417,0.26344086021505375,170,-0.8035862601081897,0.21133363037175557,0.2845959555672975
252030,落合　幸弘,62,-0.058774854589465304,0.3882659863255846,0.2523232416862395,0.1935483870967742,59,-1.1919500654978012,0.11894872129116758,0.19069556905409407
265006,星野　壽市,57,-0.08151429762735626,0.3858209854317852,0.27449675376770716,0.19298245614035087,57,-1.5950906623318757,0.058160377122536536,0.11988159366073857
265008,吉岡　實,129,-0.048350540160873194,0.3938777737560379,0.25765286574226853,0.20930232558139536,118,-1.3942309230863266,0.08283164633888823,0.15350451890326078
270006,島川　隆哉,234,-0.03259145013943663,0.3944025865015405,0.26763418518217164,0.23504273504273504,182,-1.2640721378988062,0.10373362483586626,0.17608564888105027
271008,安原　浩司,155,-0.09947120140062402,0.37505710557618005,0.27366474978772076,0.17419354838709677,141,-3.3019144336076187,0.0005968551569665777,0.0038891852163628615
272008,下河辺　隆行,71,-0.014092058488819646,0.4269440795284046,0.28169769229163655,0.2676056338028169,69,-0.2781202530558943,0.39086995406011776,0.42910723217469454
274002,浅沼　廣幸,90,-0.0657963151399042,0.3576494119980073,0.22135187069545972,0.15555555555555556,79,-1.74528080160364,0.04219370112206114,0.09164653361996075
304008,小笹　公也,197,-0.031015372247537823,0.4043480872958878,0.2746701945825632,0.2436548223350254,183,-1.0766008489450225,0.14149099146527072,0.21315829385374022
306008,松岡　隆雄,201,-0.053258975922644,0.401865492723819,0.2572390754251316,0.20398009950248755,161,-1.8789279389043025,0.030854481909271734,0.07572568822714484
308002,飯塚　知一,100,-0.11255447065722085,0.37934504175873807,0.29255447065722084,0.18,91,-2.9670737262148013,0.0018847151194094794,0.01001874879265039
310007,吉田　千津,230,-0.055821147926454366,0.38779004377303977,0.277560278361237,0.2217391304347826,199,-2.183061781328321,0.015023721635315674,0.04822803884461215
320030,幅田　京子,56,-0.06749761041089535,0.41478567118891563,0.29964046755375245,0.23214285714285715,56,-1.21775148046756,0.11425856037935092,0.18764413980999092
321004,河内　孝夫,59,-0.09760497724961954,0.40869891048699325,0.2840456552157212,0.1864406779661017,53,-1.834401895220093,0.03586262902229601,0.08139607935397522
321800,友駿ホースクラブ,105,-0.03711346031407038,0.3942319607275607,0.2561610793616894,0.21904761904761905,87,-0.964659993296398,0.16847645254443572,0.23966368601391558
329004,土井　肇,195,-0.0016465684621703289,0.41238473195853365,0.24267220948781137,0.24102564102564103,164,-0.055756373775152114,0.4777966349622984,0.510660953769229
331002,国本　哲秀,265,-0.04562001649679255,0.40620340495602997,0.24939360140245295,0.2037735849056604,244,-1.8282467726305325,0.03432045112964147,0.0787810355475861
331007,幅田　昌伸,82,-0.021481697064355054,0.4072387098144053,0.2531890141375258,0.23170731707317074,75,-0.4776683445126906,0.31708639068531463,0.3812586364192474
331803,ケイアイスタリオン,81,-0.0032656116348005037,0.42990582150398765,0.26252487089405974,0.25925925925925924,80,-1.052059989205266,0.1473053675254622,0.21562090029089392
331803,亀田　和弘,58,-0.08163526121316184,0.3609363644777015,0.2368076750062653,0.15517241379310345,58,-1.052059989205266,0.1473053675254622,0.21562090029089392
334009,小田切　有一,61,-0.0448735182498409,0.3768304909685673,0.22520138710229992,0.18032786885245902,44,-0.9300557936986192,0.17803458791172622,0.24974296359839374
338007,村野　康司,135,-0.12505081411115868,0.30444088430216604,0.23616192522226978,0.1111111111111111,101,-4.772549405698378,2.346319902966249e-06,5.924457754989778e-05
345033,増田　和啓,57,-0.08878978521128555,0.3899567582878985,0.2642283817025136,0.17543859649122806,57,-1.7190320814841489,0.04556620450578875,0.09791886500180134
346803,吉澤ホールディングス,112,-0.021702381133322006,0.41251017231885145,0.26277380970475056,0.24107142857142858,110,-0.5567775748553209,0.289400133348429,0.3608569563974238
350002,宮川　純造,69,-0.09971812248103322,0.35489777671668177,0.2881239195824825,0.18840579710144928,57,-2.3339704842039466,0.011279950201098597,0.03997456036178801
353803,ＧＥＴ　ＮＥＸＴ,55,-0.13597936946196548,0.37062394206029353,0.28143391491651093,0.14545454545454545,53,-2.720952101675058,0.004370764317169609,0.01839363316808877
356002,竹園　正繼,165,-0.023338205556213094,0.4050708737976156,0.24758062979863735,0.22424242424242424,142,-0.7400795705890041,0.2301549299512654,0.30586378848786583
356803,インゼルレーシング,67,-0.11461865515214797,0.3202867452734691,0.24894701336110323,0.13432835820895522,57,-2.929231822743313,0.002330537211905734,0.010849810587682605
367008,吉澤　克己,139,-0.06260144512868712,0.38330029405083066,0.271234538653867,0.20863309352517986,134,-1.9255402736262945,0.028109302132411914,0.07187441811072413
367800,グランド牧場,50,0.019871398262792536,0.4512899409967505,0.2601286017372075,0.28,39,0.31135638503806917,0.6215747226699091,0.6472066699965033
370008,岡　浩二,200,-0.08929539775315637,0.3790925695198254,0.2642953977531564,0.175,163,-3.3311853809207808,0.0005153835575966673,0.003577207620509929
371009,高橋　文男,50,-0.007200721000309627,0.42252196222400373,0.2672007210003096,0.26,49,-0.12050683997467371,0.4522872221487223,0.4885669458504915
372006,近藤　英子,126,-0.04123532947795955,0.4183817825094171,0.2952035834462135,0.25396825396825395,111,-1.1063230875770158,0.13535565739923264,0.2071351726867045
372008,三宅　勝俊,57,-0.06524460178140702,0.3825480868307458,0.24068319827263507,0.17543859649122806,46,-1.2876445032719073,0.10158289083835784,0.17389613516396848
373008,中村　祐子,67,-0.02198036377035501,0.43305951719307473,0.26078633391960876,0.23880597014925373,67,-0.41545566918975296,0.33957799251993664,0.38974292323310905
373800,大野商事,94,-0.08272853369129281,0.401124773393521,0.2848561932657609,0.20212765957446807,67,-1.999584533341346,0.024231481370397996,0.0661453950921675
382004,永井　啓弍,268,-0.00944171420301158,0.4176496083696609,0.23705365450151905,0.22761194029850745,237,-0.370088993137255,0.3558047890036037,0.40377846841981996
398002,近藤　利一,238,-0.09772411178942325,0.35851827655623186,0.26999301935244846,0.1722689075630252,176,-4.205125003050053,1.8506305821675986e-05,0.0002492182517319033
398030,保坂　和孝,97,-0.01902504426454318,0.4392843918358623,0.28706628137794526,0.26804123711340205,97,-0.42654589854941755,0.33533254935833945,0.38706957125934044
399009,嶋田　賢,150,-0.048315761453125876,0.3821517933421571,0.23498242811979253,0.18666666666666668,118,-1.5484548830604032,0.061817104979746025,0.12470101465783462
399030,久米田　正明,63,0.006423396275996687,0.43589697384448517,0.2475448576922573,0.25396825396825395,59,0.11696371026954298,0.5463665614118538,0.5778326984565155
399803,ライフハウス,79,-0.03615879742767191,0.4193306166006591,0.28932335438969725,0.25316455696202533,76,-0.7664272741132673,0.22286775732010483,0.29814097336861706
415800,社台レースホース,1699,-0.06223436484344795,0.39621100991240193,0.2817752712589865,0.21954090641553856,1546,-6.474413179350183,6.212996781630494e-11,6.275126749446799e-09
427030,前原　敏行,109,-0.017973138485240184,0.4066750256584597,0.2381566247237723,0.22018348623853212,100,-0.4614128305744423,0.3227152090297676,0.3837950354449415
431002,馬場　幸夫,158,-0.07767205877284314,0.393856580564252,0.29286193219056467,0.21518987341772153,125,-2.478878576341489,0.007118435766574324,0.02760614535828071
441007,野田　みづき,232,-0.07705563052000801,0.3799540470190796,0.3011935615544908,0.22413793103448276,216,-3.0889956465719393,0.0011272003861705696,0.0066858252058597245
463800,名古屋友豊,96,-0.06200414351865886,0.4100435582094222,0.25992081018532553,0.19791666666666666,88,-1.4815841928816917,0.07088017548178428,0.1376711100703887
464030,田畑　利彦,141,-0.10841274271446906,0.3710813150178807,0.2644411115087953,0.15602836879432624,105,-3.469131808815551,0.00034712537595763497,0.0028047730377376906
471002,海原　聖一,52,-0.08108551269110433,0.3632759131137961,0.23493166653725817,0.15384615384615385,49,-1.6095643182017494,0.05683312141433742,0.1183535105741872
482002,水上　行雄,119,0.008886374520751788,0.4577852523540789,0.2516178271599205,0.2605042016806723,116,0.2117562784978855,0.583668752800166,0.6108864666613135
